id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
40502814,Rental unit in Edinburgh · ★4.61 · 6 bedrooms · 8 beds · 2.5 baths,2636321,John,,Deans Village,55.94783,-3.21462,Entire home/apt,397,3,28,2023-06-01,1.17,4,24,23,
40079787,Hostel in Edinburgh · ★4.63 · 1 bedroom · 1 bed · 1 private bath,308953378,Xiang,,Newington and Dalkeith Road,55.93273,-3.17323,Private room,200,1,16,2022-12-27,0.46,6,107,2,
40080283,Hostel in Edinburgh · ★4.67 · 1 bedroom · 2 beds · 1 private bath,308953378,Xiang,,"Blackford, West Mains and Mayfield Road",55.93102,-3.17353,Private room,200,1,15,2023-05-07,0.44,6,113,7,
40081583,Hostel in Edinburgh · ★4.48 · 1 bedroom · 1 bed · 1 private bath,308953378,Xiang,,The Grange,55.93258,-3.17316,Private room,200,1,46,2023-04-11,1.10,6,102,8,
40508198,Rental unit in Edinburgh · ★4.93 · 1 bedroom · 2 beds · 1 bath,14014083,Anna,,Newington and Dalkeith Road,55.9409,-3.17843,Entire home/apt,176,2,14,2023-06-10,0.33,1,41,7,
40082914,Rental unit in Edinburgh · ★4.62 · 2 bedrooms · 3 beds · 1 bath,308871942,Ian,,Great Junction Street,55.96726,-3.17569,Entire home/apt,127,3,71,2023-06-09,1.64,1,53,34,
40525509,Rental unit in Edinburgh · ★4.80 · 2 bedrooms · 3 beds · 1.5 baths,137156641,Gill,,Merchiston and Greenhill,55.93489,-3.22128,Entire home/apt,200,2,20,2022-11-20,0.47,4,73,2,
40092359,Rental unit in Edinburgh · ★4.89 · 2 bedrooms · 2 beds · 2 baths,78634893,George,,Tollcross,55.94518,-3.21228,Entire home/apt,204,2,161,2023-06-05,3.82,2,95,59,
40114173,Condo in Edinburgh · ★5.0 · 2 bedrooms · 2 beds · 1 bath,948151,Manuela,,The Shore and Constitution Street,55.97613,-3.17403,Entire home/apt,120,3,12,2023-04-16,0.29,1,2,9,
40532465,Rental unit in Edinburgh · 1 bedroom · 1 bed · 1 bath,215705290,Sean,,Broughton North and Powderhall,55.96411,-3.19114,Entire home/apt,199,5,0,,,1,0,0,
40123717,Condo in Edinburgh · ★4.91 · 1 bedroom · 1 bed · 1.5 baths,106515593,James,,"Old Town, Princes Street and Leith Street",55.95785,-3.1869,Private room,45,1,123,2023-05-12,2.89,1,0,38,
40125627,Hotel in Edinburgh · 1 bedroom · 1.5 baths,5301341,Karen,,Leith (Hermitage and Prospect Bank),55.96826,-3.16406,Private room,35,2,0,,,3,0,0,
40534647,Condo in Edinburgh · ★4.87 · 1 bedroom · 1 bed · 1 shared bath,41383646,Greg,,Dalry and Fountainbridge,55.94381,-3.21473,Private room,55,2,112,2023-06-09,2.63,1,35,50,
40130600,Rental unit in Edinburgh · ★4.32 · 3 bedrooms · 3 beds · 1 bath,309539968,Houst,,Meadows and Southside,55.94218,-3.18364,Entire home/apt,154,2,75,2023-05-16,1.74,1,290,17,
40547881,Rental unit in Edinburgh · ★4.73 · 2 bedrooms · 4 beds · 1 bath,310835509,Travelnest,,"Old Town, Princes Street and Leith Street",55.949765222687525,-3.19232472089431,Entire home/apt,306,1,26,2023-01-02,1.05,3,362,11,
40552972,Rental unit in Edinburgh · ★4.49 · 1 bedroom · 2 beds · 1 bath,37563463,Altido,,"Old Town, Princes Street and Leith Street",55.95316,-3.19904,Entire home/apt,152,2,57,2023-05-22,1.43,155,306,26,
40157901,Rental unit in Edinburgh · ★4.63 · 2 bedrooms · 2 beds · 1 bath,396590105,Dayna,,Cramond,55.97198,-3.30714,Entire home/apt,166,3,46,2023-05-22,1.07,7,77,21,
40176199,Bungalow in Edinburgh  · ★4.80 · 3 bedrooms · 5 beds · 1 bath,154721462,Zatoon,,"Dalmeny, Kirkliston and Newbridge",55.9399,-3.40634,Entire home/apt,140,2,41,2023-05-08,0.97,3,84,17,
